STORJUSDT,DOGEUSDT,STORJUSDT_perc,DOGEUSDT_perc,spread,zscore
1.9632,0.2258,1.0,1.0,0.04996535881794961,
2.7831,0.2076,1.4176344743276283,0.9193976970770593,1.024076476929169,
1.7388,0.1715,0.8856968215158924,0.7595217006200178,0.2856567716442795,
1.692,0.1696,0.8618581907090465,0.7511071744906997,0.2549557345240223,
1.6873,0.1695,0.8594641401792991,0.7506643046944199,0.25110304835979824,
2.0721,0.1898,1.0554706601466992,0.8405668733392383,0.46389833969728445,
1.925,0.1744,0.9805419722901385,0.7723649247121346,0.4472846704067779,
1.5551,0.1505,0.7921251018744906,0.66651904340124,0.279892677157225,
1.662,0.1766,0.8465770171149144,0.7821080602302923,0.1656437660197072,
1.0923,0.1418,0.5563875305623472,0.6279893711248893,-0.10919101913026896,
1.165,0.1392,0.5934189079054605,0.616474756421612,-0.014460859400094783,
1.3474,0.154,0.6863284433577832,0.6820194862710363,0.04253669290506745,
1.137,0.1481,0.5791564792176039,0.6558901682905226,-0.11787179078415266,
0.9786,0.1366,0.4984718826405868,0.6049601417183348,-0.1788306996699206,
0.9386,0.1229,0.47809698451507743,0.5442869796279893,-0.10274870416861825,
0.9143,0.1207,0.46571923390383047,0.5345438441098317,-0.10840779978154769,
0.993,0.1114,0.5058068459657702,0.4933569530558016,0.0490923869456138,
1.0778,0.1191,0.5490016299918501,0.5274579273693534,0.06864922159086717,
1.3357,0.1448,0.6803687856560717,0.6412754650132861,0.10878956579645305,
1.4572,0.1465,0.7422575387123065,0.6488042515500443,0.21588523058826237,
1.0974,0.1482,0.5589853300733496,0.6563330380868024,-0.1583191046199286,-1.0679933046689682
1.0394,0.1392,0.5294417277913611,0.616474756421612,-0.14006085940009472,-0.949214385165279
1.0662,0.1318,0.5430929095354523,0.5837023914969,-0.05055963555267584,-0.6481719396090663
0.9009,0.1327,0.45889364303178487,0.587688219663419,-0.22348546007465941,-1.3630392380736343
0.7881,0.1241,0.4014364303178484,0.5496014171833481,-0.26341647019792935,-1.3979829115690543
0.5946,0.0932,0.3028728606356968,0.41275465013286095,-0.19509649494316694,-0.9753062292164989
0.591,0.0859,0.30103911980440096,0.3804251550044287,-0.13684258493152412,-0.6387330066136356
0.5517,0.0827,0.281020782396088,0.36625332152347206,-0.14902854218669426,-0.6706226770286062
0.5835,0.0811,0.297218826405868,0.3591674047829938,-0.10367152081427944,-0.2841730374136854
0.4224,0.0635,0.21515892420537897,0.2812223206377325,-0.11564428571771568,-0.29881121962980073
0.5293,0.0605,0.2696108394458028,0.2679362267493357,0.016675129355562257,0.7537100498434974
0.8405,0.073,0.4281275468622657,0.3232949512843224,0.22196089988357104,2.0891632044564377
0.6512,0.0672,0.33170334148329256,0.2976085031000886,0.08180510235857497,1.0339946684006422
0.682,0.0673,0.34739201303993483,0.29805137289636846,0.11175778852279905,1.136345357569418
0.6632,0.0631,0.33781581092094537,0.27945084145261295,0.12854496962538808,1.1363794707203871
0.6566,0.0675,0.3344539527302363,0.2989371124889283,0.08466316085124703,0.7629392376572532
0.687,0.0681,0.3499388753056235,0.30159433126660756,0.10997927783659167,0.8556391786470903
0.6898,0.069,0.3513651181744091,0.30558015943312666,0.10515345331460813,0.7953960271668505
0.7086,0.0817,0.36094132029339854,0.36182462356067313,0.016344596171065096,0.21794356894659836
0.5839,0.0693,0.297422575387123,0.3069087688219663,-0.003288488192719652,0.12368641152475209
0.5266,0.0618,0.26823553382233084,0.2736935341009743,0.002960049490475125,0.2544621027766253
0.5536,0.0632,0.2819885900570497,0.27989371124889284,0.018097655789612088,0.3108589565396067
0.5533,0.0637,0.2818357783211084,0.28210806023029233,0.013561086610732409,0.22562208318841692
0.4665,0.0574,0.23762224938875307,0.25420726306465896,-0.019858141735383916,-0.043489554377935925
0.4535,0.0612,0.23100040749796252,0.2710363153232949,-0.06505606749486925,-0.4826102591237753
0.442,0.0593,0.22514262428687856,0.26262178919397694,-0.0604571046151266,-0.5946769473055964
0.462,0.0621,0.23533007334963327,0.275022143489814,-0.06418189201685259,-0.7489976641016965
0.4155,0.0589,0.2116442542787286,0.2608503100088574,-0.08356784927202288,-1.0070195837549847
0.4127,0.0603,0.21021801140994295,0.26705048715677593,-0.0982302429728859,-1.236319657144027
0.4342,0.1175,0.2211695191524042,0.5203720106288751,-0.561393757036718,-3.601974722166722
0.4566,0.1146,0.23257946210268948,0.5075287865367581,-0.514421655799216,-2.5884200357703326
0.294,0.0848,0.14975550122249387,0.3755535872453499,-0.42452213273798883,-1.8201979994602482
0.3105,0.077,0.1581601466992665,0.34100974313551813,-0.34193165354746624,-1.2925586263490365
0.3345,0.0983,0.17038508557457213,0.4353410097431355,-0.49840950056773936,-1.7762621632687499
0.3321,0.1039,0.16916259168704156,0.4601417183348096,-0.5482590753711916,-1.7461939523599237
0.3192,0.09265,0.1625916870415648,0.4103188662533215,-0.46583626884639934,-1.2660745494752959
0.273,0.07842,0.13905867970660146,0.34729849424269266,-0.3914635100154844,-0.8690277165148129
0.265,0.07598,0.1349837000814996,0.33649247121346326,-0.3787890524225518,-0.7379742607249952
0.2493,0.07022,0.12698655256723715,0.31098317094774136,-0.34568377548185825,-0.5245597315766882
0.2596,0.07386,0.1322330888345558,0.32710363153232946,-0.366225999104102,-0.5487172004770433
